front,back,deck,tags,source_language,target_language
"die Ansage, -n",announcement,Goethe A1,goethe-a1;source-patsytau;formal,de,en
der Anschluss,connection,Goethe A1,goethe-a1;source-patsytau;formal,de,en
an sein,to be (switched) on,Goethe A1,goethe-a1;source-patsytau,de,en
antworten,to answer,Goethe A1,goethe-a1;source-patsytau,de,en
"die Antwort, -en",answer,Goethe A1,goethe-a1;source-patsytau,de,en
"die Anzeige, -n",advert,Goethe A1,goethe-a1;source-patsytau,de,en
(sich) anziehen,to get dressed,Goethe A1,goethe-a1;source-patsytau,de,en
"das Apartment, -s",apartment,Goethe A1,goethe-a1;source-patsytau,de,en
"der Apfel, -Ä",apple,Goethe A1,goethe-a1;source-patsytau,de,en
der Appetit,…,Goethe A1,goethe-a1;source-patsytau,de,en
arbeiten,to work,Goethe A1,goethe-a1;source-patsytau;formal,de,en
"die Arbeit, -en",work,Goethe A1,goethe-a1;source-patsytau,de,en
arbeitslos,unemployed,Goethe A1,goethe-a1;source-patsytau,de,en
"der Arbeitsplatz, -ä, e",workplace,Goethe A1,goethe-a1;source-patsytau,de,en
"der Arm, -e",arm,Goethe A1,goethe-a1;source-patsytau,de,en
"der Arzt, -Ä, e",doctor,Goethe A1,goethe-a1;source-patsytau,de,en
auch,also,Goethe A1,goethe-a1;source-patsytau,de,en
auf,on,Goethe A1,goethe-a1;source-patsytau,de,en
auf,until,Goethe A1,goethe-a1;source-patsytau;lit. “until we see each other again”,de,en
auf,in,Goethe A1,goethe-a1;source-patsytau,de,en
"die Aufgabe, -n",task,Goethe A1,goethe-a1;source-patsytau,de,en
aufhören,to end,Goethe A1,goethe-a1;source-patsytau,de,en
auf sein,to be open,Goethe A1,goethe-a1;source-patsytau;informal,de,en
aufstehen,to get up,Goethe A1,goethe-a1;source-patsytau,de,en
"der Aufzug, -ü, e",lift,Goethe A1,goethe-a1;source-patsytau,de,en
"das Auge, -n",eye,Goethe A1,goethe-a1;source-patsytau,de,en
aus,from,Goethe A1,goethe-a1;source-patsytau,de,en
der Ausflug,excursion,Goethe A1,goethe-a1;source-patsytau,de,en
ausfüllen,to fill out,Goethe A1,goethe-a1;source-patsytau;formal,de,en
der Ausgang,exit,Goethe A1,goethe-a1;source-patsytau,de,en
"die Auskunft, -ü, e",information/details,Goethe A1,goethe-a1;source-patsytau;formal,de,en
das Ausland,abroad/overseas,Goethe A1,goethe-a1;source-patsytau;formal,de,en
"der Ausländer, -",foreigner,Goethe A1,"goethe-a1;source-patsytau;A little offensive, formal",de,en
ausländisch,foreign,Goethe A1,goethe-a1;source-patsytau,de,en
ausmachen,to switch off,Goethe A1,goethe-a1;source-patsytau,de,en
"die Aussage, -n",statement,Goethe A1,goethe-a1;source-patsytau,de,en
aussehen,to look,Goethe A1,goethe-a1;source-patsytau,de,en
aus sein,to be (switched) off,Goethe A1,goethe-a1;source-patsytau,de,en
aus sein,to be out,Goethe A1,goethe-a1;source-patsytau,de,en
aussteigen,to alight,Goethe A1,goethe-a1;source-patsytau,de,en
der Ausweis,identity card,Goethe A1,goethe-a1;source-patsytau,de,en
ausziehen,to take off,Goethe A1,goethe-a1;source-patsytau,de,en
sich ausziehen,to get undressed,Goethe A1,goethe-a1;source-patsytau,de,en
"das Auto, -s",car,Goethe A1,goethe-a1;source-patsytau,de,en
"die Autobahn, -en",motorway,Goethe A1,goethe-a1;source-patsytau,de,en
der Automat,machine,Goethe A1,goethe-a1;source-patsytau,de,en
automatisch,automatic,Goethe A1,goethe-a1;source-patsytau;informal,de,en
"das Baby, -s",baby,Goethe A1,goethe-a1;source-patsytau,de,en
die Bäckerei,bakery,Goethe A1,goethe-a1;source-patsytau,de,en
das Bad,bathroom,Goethe A1,goethe-a1;source-patsytau,de,en
baden,to bathe,Goethe A1,goethe-a1;source-patsytau,de,en
die Bahn,train,Goethe A1,goethe-a1;source-patsytau,de,en
der Bahnhof,train station,Goethe A1,goethe-a1;source-patsytau,de,en
der Bahnsteig,platform,Goethe A1,goethe-a1;source-patsytau,de,en
bald,soon,Goethe A1,goethe-a1;source-patsytau,de,en
der Balkon,balcony,Goethe A1,goethe-a1;source-patsytau,de,en
"die Banane, -n",banana,Goethe A1,goethe-a1;source-patsytau,de,en
die Bank,bank,Goethe A1,goethe-a1;source-patsytau,de,en
die Bank,bench,Goethe A1,goethe-a1;source-patsytau,de,en
bar,cash,Goethe A1,goethe-a1;source-patsytau,de,en
der Bauch,stomach,Goethe A1,goethe-a1;source-patsytau,de,en
"der Baum, -ä, e",tree,Goethe A1,goethe-a1;source-patsytau,de,en
"der Beamte, -n",official,Goethe A1,goethe-a1;source-patsytau;formal,de,en
bedeuten,to mean,Goethe A1,goethe-a1;source-patsytau,de,en
beginnen,to begin,Goethe A1,goethe-a1;source-patsytau,de,en
bei,next to,Goethe A1,goethe-a1;source-patsytau,de,en
bei,at,Goethe A1,goethe-a1;source-patsytau,de,en
bei uns,here / where we are,Goethe A1,goethe-a1;source-patsytau;bei uns = set phrase,de,en
bei,for,Goethe A1,goethe-a1;source-patsytau,de,en
beide,both,Goethe A1,goethe-a1;source-patsytau,de,en
"das Bein, -e",leg,Goethe A1,goethe-a1;source-patsytau,de,en
"das Beispiel, -e",example,Goethe A1,goethe-a1;source-patsytau;informal,de,en
zum Beispiel/z. B.,for example,Goethe A1,goethe-a1;source-patsytau,de,en
bekannt,well known,Goethe A1,goethe-a1;source-patsytau,de,en
"der/die Bekannte, -n",acquaintance,Goethe A1,goethe-a1;source-patsytau,de,en
bekommen,to receive,Goethe A1,goethe-a1;source-patsytau;formal,de,en
bekommen,to have,Goethe A1,"goethe-a1;source-patsytau;for food and drink, formal",de,en
bekommen,to get,Goethe A1,goethe-a1;source-patsytau;formal,de,en
benutzen,to use,Goethe A1,goethe-a1;source-patsytau,de,en
"der Beruf, -e",profession,Goethe A1,goethe-a1;source-patsytau;formal,de,en
"der Beruf, -e",occupation,Goethe A1,goethe-a1;source-patsytau,de,en
besetzt,busy,Goethe A1,goethe-a1;source-patsytau,de,en
besetzt,taken,Goethe A1,goethe-a1;source-patsytau,de,en
besichtigen,to visit,Goethe A1,goethe-a1;source-patsytau,de,en
besser,better,Goethe A1,goethe-a1;source-patsytau,de,en
best-,best,Goethe A1,goethe-a1;source-patsytau,de,en
bestellen,to order,Goethe A1,goethe-a1;source-patsytau,de,en
besuchen,to visit,Goethe A1,goethe-a1;source-patsytau;informal,de,en
"das Bett, -en",bed,Goethe A1,goethe-a1;source-patsytau,de,en
bezahlen,to pay,Goethe A1,goethe-a1;source-patsytau,de,en
das Bier,beer,Goethe A1,goethe-a1;source-patsytau,de,en
"das Bild, -er",picture,Goethe A1,goethe-a1;source-patsytau;informal,de,en
billig,cheap,Goethe A1,goethe-a1;source-patsytau,de,en
"die Birne, -n",pear,Goethe A1,goethe-a1;source-patsytau,de,en
bis,to (as far as),Goethe A1,goethe-a1;source-patsytau,de,en
bis,until,Goethe A1,goethe-a1;source-patsytau,de,en
bisschen,(a) little,Goethe A1,goethe-a1;source-patsytau,de,en
bitte,please,Goethe A1,goethe-a1;source-patsytau,de,en
"die Bitte, -n",request,Goethe A1,goethe-a1;source-patsytau,de,en
bitten,to ask,Goethe A1,goethe-a1;source-patsytau;formal,de,en
bitter,bitter,Goethe A1,goethe-a1;source-patsytau,de,en
bleiben,to stay,Goethe A1,goethe-a1;source-patsytau,de,en
"der Bleistift, -e",pencil,Goethe A1,goethe-a1;source-patsytau;informal,de,en
